body_temperature,blood_oxygen ,heart_rate ,Stress_Levels
90.84,89.84,74.2,1
90.552,89.552,72.76,1
96,95,60,0
90.768,88.768,68.84,1
95.176,94.064,58.44,0
95.004,91.656,57.76,0
95.856,94.784,59.64,0
90.04,89.04,70.2,1
94.464,92.696,56.06,0
94.528,92.792,56.12,0
90.812,88.812,69.06,1
90.208,88.208,90.144,1
90.072,89.072,70.16,1
90.128,89.128,70.64,1
94.716,91.004,56.84,0
94.092,92.288,55.48,0
90.968,89.968,74.84,1
90.896,88.896,69.48,1
95.144,94.006,58.16,0
94.72,91.08,56.8,0
90.76,89.76,71.8,1
95.206,91.824,58.04,0
90.702,89.702,71.56,1
90.008,89.008,70.04,1
95.696,94.544,90.144,0
90.044,88.044,65.72,1
94.048,92.072,55.02,0
94.096,92.044,55.24,0
95.516,94.104,58.84,0
95.296,91.944,58.24,0
90.144,89.144,70.72,1
94.028,92.092,55.12,0
94.002,92.068,55.28,0
94.784,91.076,90.144,0
94.976,91.464,57.44,0
94.48,92.72,56.2,0
94.12,92.48,55.8,0
90.664,89.664,71.12,1
90.88,88.88,69.4,1
90,88,65,1
94.704,91.056,56.76,0
94.88,91.12,57.2,0
90.408,89.408,72.04,1
94.992,91.488,57.48,0
95.056,91.584,57.64,0
90.176,89.176,70.88,1
95.606,94.424,59.04,0
90.48,88.48,67.4,1
95.44,94.06,58.6,0
90.696,89.696,71.48,1
95.916,94.904,59.84,0
90.092,88.092,65.96,1
94.064,92.096,55.06,0
90.016,89.016,70.68,1
90.776,89.776,71.88,1
51.6,91.728,57.88,0
95.92,94.88,59.8,0
95.612,94.448,59.08,0
94.688,91.012,56.72,0
94.502,92.768,56.28,0
94.864,91.296,57.06,0
90.6,89.6,71,1
95.776,94.664,59.44,0
95.04,91.56,57.6,0
94.672,91.008,56.68,0
95.648,94.472,59.02,0
95.408,94.002,58.52,0
94.56,92.84,56.4,0
95.456,94.084,58.64,0
90.02,89.02,70.6,1
90.068,89.068,70.84,1
95.664,94.496,59.06,0
94.406,92.624,56.04,0
95.102,91.968,58.28,0
90.104,88.104,66.52,1
52.1,89.744,90.144,1
90.992,88.992,69.96,1
95.872,94.808,59.68,0
95.016,91.704,57.84,0
90.006,88.006,65.08,1
94,92,55,0
90.52,89.52,72.6,1
95.488,94.212,58.72,0
90.192,89.192,70.96,1
90.052,89.052,70.76,1
90.406,88.406,67.08,1
95.128,91.992,58.12,0
90.792,89.792,71.96,1
90.592,88.592,67.96,1
90.028,88.028,65.64,1
90.928,88.928,69.64,1
90.06,88.06,65.8,1
90.528,88.528,90.144,1
94.272,92.408,55.68,0
